GCAM_region_ID,Land_Type,GLU,soil_c,veg_c,mature age
8,Forest,GLU007,22.06513014,13.5461582,50
8,Forest,GLU010,25.95563186,8.0257619,50
8,Forest,GLU015,38.7840206,5.180964386,50
8,Forest,GLU019,20.64461763,7.528833774,50
8,Forest,GLU023,35.0504261,6.657605998,50
8,Forest,GLU027,16.07252236,13.27060331,50
8,Forest,GLU034,19.95467042,5.586395608,50
8,Forest,GLU040,20.94931181,7.573444485,50
8,Forest,GLU223,10.40266928,4.094547596,50
8,Forest,GLU227,17.88106251,8.637104446,50
8,Forest,GLU229,16.1279539,15.12204827,50
8,Forest,GLU232,17.72953351,8.126582544,50
8,Grassland,GLU002,38,1.799748898,10
8,Grassland,GLU007,23,1.9,10
8,Grassland,GLU010,34.99683111,1.799878035,10.00286709
8,Grassland,GLU015,26,1.100498567,10
8,Grassland,GLU019,22,1.499741855,10
8,Grassland,GLU023,13.01157009,1.51216245,10.10991583
8,Grassland,GLU027,19,4.4,10
8,Grassland,GLU034,20,0.999905385,10
8,Grassland,GLU040,20,1.299327373,10
8,Grassland,GLU223,8,0.8,10
8,Grassland,GLU227,16,4.099189145,10
8,Grassland,GLU229,17,4.902109559,10
8,Grassland,GLU232,18,3.900057281,10
8,RockIceDesert,GLU002,8.524685321,0.00047778,50
8,RockIceDesert,GLU007,8.554828878,0.023167941,50
8,RockIceDesert,GLU010,13.44169075,0.430814066,50
8,RockIceDesert,GLU015,8.5,0,50
8,RockIceDesert,GLU019,8.5,0,50
8,RockIceDesert,GLU023,8.5,0,50
8,RockIceDesert,GLU027,8.5,0,50
8,RockIceDesert,GLU229,9.126169822,0.275514722,50
8,Shrubland,GLU002,32,2.1,50
8,Shrubland,GLU007,25,2.5,50
8,Shrubland,GLU010,31,2.10038106,50
8,Shrubland,GLU015,24,1.399981903,50
8,Shrubland,GLU019,20,1.399045412,50
8,Shrubland,GLU023,17.9655895,1.925598339,49.44943194
8,Shrubland,GLU027,7.5,1.9,18
8,Shrubland,GLU034,19,1.199959904,50
8,Shrubland,GLU040,18.74583275,1.21547105,49.29275199
8,Shrubland,GLU223,8,0.445971475,50
8,Shrubland,GLU227,20,4.209388213,50
8,Tundra,GLU002,31,0.900164636,50
8,Tundra,GLU007,22,2.896924104,50
8,Tundra,GLU010,30,2.899905678,50
8,Tundra,GLU015,22,2.1,50
8,Tundra,GLU019,21.00154089,1.299383644,50
8,Tundra,GLU023,18,7.2998242,50
8,Tundra,GLU027,19,4.492257683,50
8,Tundra,GLU034,17,0.9,50
8,Tundra,GLU040,21.53725505,1.570980177,50
8,Tundra,GLU229,17,7.226119328,50
9,Forest,GLU101,12.74770989,5.274489254,38.33332106
9,Forest,GLU111,12.43099572,9.407279933,40.08480627
9,Forest,GLU133,11.12414881,9.334892559,40.4506331
9,Forest,GLU135,13.95183976,10.01083576,40.01078531
9,Forest,GLU143,13.48367051,14.88562534,40.5698596
9,Forest,GLU157,16.9743995,11.8911811,40.10671588
9,Grassland,GLU101,12.52851496,2.528990102,14.75153716
9,Grassland,GLU111,12.38534434,2.809909183,13.04660779
9,Grassland,GLU133,13,5.348851983,11.70933821
9,Grassland,GLU135,12.94868549,4.398482948,16.32820876
9,Grassland,GLU143,11.65013931,7.621946917,10
9,Grassland,GLU157,15.81709227,11.23651811,10.53465337
9,Shrubland,GLU101,12.09651695,7.889257652,50
9,Shrubland,GLU111,9.381915192,2.445614528,18
9,Shrubland,GLU133,11,7.007920366,18
9,Shrubland,GLU135,18.48721556,4.107986668,18.46304724
9,Shrubland,GLU143,25,13.1,18
9,Shrubland,GLU157,25,13.1,18
10,Forest,GLU018,25,6.2,50
10,Forest,GLU042,15.77899855,7.67299228,50
10,Forest,GLU043,16.98321555,6.141878681,50
10,Forest,GLU045,20.14675038,4.419883352,44.17045044
10,Forest,GLU047,21.00818063,11.13527123,50
10,Forest,GLU048,18.86349053,6.651941185,50
10,Forest,GLU056,17.49297565,6.058482496,50
10,Forest,GLU058,7,0.7,50
10,Forest,GLU068,13.30492136,7.245633783,50
10,Forest,GLU070,16.23093591,13.00794538,50
10,Forest,GLU072,12.54456717,10.21271676,50
10,Forest,GLU076,14.52523086,3.847748982,46.51951147
10,Grassland,GLU018,12,0.598353645,10
10,Grassland,GLU038,12.00213868,0.502834679,10.01015875
10,Grassland,GLU042,15.66303746,0.756181189,10.04671871
10,Grassland,GLU043,11.10576322,0.942305288,10.40190024
10,Grassland,GLU045,10.19506084,0.624383406,10
10,Grassland,GLU047,22,13.14159298,10
10,Grassland,GLU048,16,1.17915886,10.305676
10,Grassland,GLU052,4.148596271,0.548280266,10
10,Grassland,GLU056,14.2235414,0.699009057,10.0814983
10,Grassland,GLU058,9.131329907,0.531381909,10.06484708
10,Grassland,GLU068,10.13446647,0.635652868,10.05541453
10,Grassland,GLU070,20.00321035,5.6,10.06099658
10,Grassland,GLU072,12.72329311,1.477465616,10.12426777
10,Grassland,GLU076,10.15276824,0.449135289,10.02024657
10,Grassland,GLU085,15,0.7,10
10,RockIceDesert,GLU038,0,0,35
10,RockIceDesert,GLU042,2.071568722,0.200481156,50
10,RockIceDesert,GLU045,10.22894642,0.2,50
10,RockIceDesert,GLU052,2,0.2,50
10,RockIceDesert,GLU056,4.551518023,0.209730133,50
10,RockIceDesert,GLU058,7.306853524,0.076598209,50
10,RockIceDesert,GLU068,4.240353146,0.219585523,50
10,RockIceDesert,GLU070,8.5,0,50
10,RockIceDesert,GLU072,6,0.3,50
10,RockIceDesert,GLU076,12.65929642,0.265185031,50
10,RockIceDesert,GLU085,8.566354208,0.004423614,50
10,Shrubland,GLU018,11.99637754,1.392441715,50
10,Shrubland,GLU038,17,5.1,50
10,Shrubland,GLU042,16.70898813,0.946781403,50
10,Shrubland,GLU043,14,2.885917421,50
10,Shrubland,GLU045,11.08663628,0.372668908,50
10,Shrubland,GLU048,18,4.910558594,50
