Data source,Region,Forest types,Time,Age types,Texture,depth,OC_decrease,References,Initial_Land_Use,Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID
"Solomon  et al., 2000",Tanzania,Tropical forest,3,<=10 yr,loam,0-10 cm,55.61497326,"Solomon D, Lehmann J, Zech W. 2000. Land use effects on soil organic matter properties of chromic luvisols in semi-arid northern Tanzania carbon, nitrogen, lignin and carbohydrates. Agriculture, Ecosystems and Environment, 78: 203-213",Forest,Cropland,"Naberera, Masai plains, Tanzania",AfrCstE,GLU171,4
"Solomon  et al., 2001",Tanzania,Tropical forest,15,11-50 yr,loam,0-10 cm,56.14973262,"Solomon D, Lehmann J, Zech W. 2000. Land use effects on soil organic matter properties of chromic luvisols in semi-arid northern Tanzania carbon, nitrogen, lignin and carbohydrates. Agriculture, Ecosystems and Environment, 78: 203-214",Forest,Cropland,"Naberera, Masai plains, Tanzania",AfrCstE,GLU171,4
"Srivastava and Singh, 1991",India,Tropical forest,27,11-50 yr,loam,0-10 cm,51.14678899,"Srivastava SC, Singh JS. 1991. Microbial-C, microbial-N and microbial-P in dry tropical forest soils - effects of alternate land-uses and nutrient flux. Soil Biology & Biochemistry, 23: 117-124",Forest,Cropland,"Sonbhadra, Uttar Pradesh, India",GangesR,GLU110,17
"Templer  et al., 2005",Dominican Republic,Tropical forest,29,11-50 yr,,0-10 cm,73.88858633,"Templer PH, Groffman PM, Flecker AS, Power AG. 2005. Land use change and soil nutrient transformations in the Los Haitises region of the Dominican Republic. Soil Biology & Biochemistry, 37: 215-225",Forest,Cropland," Los Haitises National Park, Dominican Republic ",Caribbean,GLU101,9
"Templer  et al., 2006",Dominican Republic,Tropical forest,29,11-50 yr,,0-10 cm,52.29071702,,Forest,Cropland," Los Haitises National Park, Dominican Republic ",Caribbean,GLU101,9
"Tiessen  et al., 1992",Brazil,Tropical forest,15,11-50 yr,,0-5 cm,22.5,"Tiessen H, Salcedo IH, Sampaio EVSB. 1992. Nutrient and soil organic-matter dynamics under shifting cultivation in semiarid northeastern Brazil. Agriculture, Ecosystems and Environment, 38: 139-15l",Forest,Cropland,"40 20' W, 7 35' S, Brazil",SaoFrancR,GLU192,7
"Vågen  et al., 2006",Madagascar,Tropical forest,29,11-50 yr,,surface,42.87901991,"Vågen T, Walsh MG, Shepherd KD. 2006. Stable isotopes for characterisation of trends in soil carbon following deforestation and land use change in the highlands of Madagascar. Geoderma, 135: 133-139",Forest,Cropland,Madagascar,Madagascar,GLU177,2
"Graham  et al., 1981",Australia,Tropical forest,14,11-50 yr,,0-10 cm,8.943089431,"Graham TWG, Webb AA, Waring SA. 1981. Soil nitrogen status and pasture productivity after clearing of brigalow (Acacia harpophylla). Australian Journal of Experimental Agriculture and Animal Husbandry, 21: 109-118",Forest,Cropland,,,,
,,Tropical forest,12,11-50 yr,,0-10 cm,-14.4,,Forest,Cropland,,,,
,,Tropical forest,8,<=10 yr,,0-10 cm,6.666666667,,Forest,Cropland,,,,
,,Tropical forest,22,11-50 yr,,0-10 cm,11.72413793,,Forest,Cropland,,,,
,,Tropical forest,9,<=10 yr,,0-10 cm,21.93877551,,Forest,Cropland,,,,
,,Tropical forest,32,11-50 yr,,0-10 cm,16.78321678,,Forest,Cropland,,,,
,,Tropical forest,10,<=10 yr,,0-10 cm,42.66666667,,Forest,Cropland,,,,
,,Tropical forest,7,<=10 yr,,0-10 cm,24.57627119,,Forest,Cropland,,,,
"Gregorich  et al., 1995",Canada,Boreal forest,91,>50 yr,clay loam,0-15 cm,89.92134356,"Gregorich EG, Ellert BH, Monreal CM. 1995. Turnover of soil organic matter and storage of corn residue carbon estimated from natural 13C abundance. Canadian Journal of Soil Science, 75: 161-167",Forest,Cropland,,,,
"Jaiyeoba, 2003",Nigeria,Tropical forest,3,<=10 yr,clayey,0-10 cm,23.91304348,"Jaiyeoba IA. 2003. Changes in soil properties due to continuous cultivation in Nigerian semiarid Savannah. Soil & Tillage Research, 70: 91-98",Forest,Cropland,"Nigeria, 35km NW of Zaria",NigerR,GLU149,5
"Jaiyeoba, 2004",Nigeria,Tropical forest,7,<=10 yr,clayey,0-10 cm,45.65217391,"Jaiyeoba IA. 2003. Changes in soil properties due to continuous cultivation in Nigerian semiarid Savannah. Soil & Tillage Research, 70: 91-99",Forest,Cropland,"Nigeria, 35km NW of Zaria",NigerR,GLU149,5
"Jaiyeoba, 2005",Nigeria,Tropical forest,11,11-50 yr,clayey,0-10 cm,58.69565217,"Jaiyeoba IA. 2003. Changes in soil properties due to continuous cultivation in Nigerian semiarid Savannah. Soil & Tillage Research, 70: 91-100",Forest,Cropland,"Nigeria, 35km NW of Zaria",NigerR,GLU149,5
"Jaiyeoba, 2006",Nigeria,Tropical forest,15,11-50 yr,clayey,0-10 cm,65.2173913,"Jaiyeoba IA. 2003. Changes in soil properties due to continuous cultivation in Nigerian semiarid Savannah. Soil & Tillage Research, 70: 91-101",Forest,Cropland,"Nigeria, 35km NW of Zaria",NigerR,GLU149,5
"Jaiyeoba, 2007",Nigeria,Tropical forest,25,11-50 yr,clayey,0-10 cm,71.30434783,"Jaiyeoba IA. 2003. Changes in soil properties due to continuous cultivation in Nigerian semiarid Savannah. Soil & Tillage Research, 70: 91-102",Forest,Cropland,"Nigeria, 35km NW of Zaria",NigerR,GLU149,5
"Coote and Ramsey, 1983",Canada,Boreal forest,35,11-50 yr,loam,0-10 cm,-1.829960662,"Coote DR, Ramsey JF. 1983. Quantification of the effects of over 35 years of intensive cultivation on four soils. Canadian Journal of Soil Science, 63: 1-14",Forest,Cropland,"Central Experimental Farms, Ottowa",GreatLakes,GLU227,8
"Coote and Ramsey, 1984",Canada,Boreal forest,35,11-50 yr,loam,0-10 cm,21.78814537,"Coote DR, Ramsey JF. 1983. Quantification of the effects of over 35 years of intensive cultivation on four soils. Canadian Journal of Soil Science, 63: 1-15",Forest,Cropland,"Central Experimental Farms, Ottowa",GreatLakes,GLU228,8
"Coote and Ramsey, 1985",Canada,Boreal forest,35,11-50 yr,clayey,0-10 cm,35.86353127,"Coote DR, Ramsey JF. 1983. Quantification of the effects of over 35 years of intensive cultivation on four soils. Canadian Journal of Soil Science, 63: 1-16",Forest,Cropland,"Central Experimental Farms, Ottowa",GreatLakes,GLU229,8
"Coote and Ramsey, 1986",Canada,Boreal forest,35,11-50 yr,clay loam,0-10 cm,37.94039725,"Coote DR, Ramsey JF. 1983. Quantification of the effects of over 35 years of intensive cultivation on four soils. Canadian Journal of Soil Science, 63: 1-17",Forest,Cropland,"Central Experimental Farms, Ottowa",GreatLakes,GLU230,8
"Vitorello  et al., 1989",Brazil,Tropical forest,12,11-50 yr,clayey,0-20 cm,-4.761904762,"Vitorello VA, Cerri CC, Andreux F, Feller C, Civtória RL. 1989. Organic matter and natural carbon-13 distribution in forested and cultivated oxisols. Soil Science Society of America Journal, 53: 773-778",Forest,Cropland,,,,
,,Tropical forest,50,11-50 yr,clayey,0-20 cm,28.57142857,,Forest,Cropland,,,,
"Llorente  et al., 2010",Spain,Temperate forest,100,>50 yr,clay loam,0-30 cm,48.70848708,"Llorente M, Glaser B, Turrión M. 2010. Anthropogenic disturbance of natural forest vegetation on calcareous soils alters soil organic matter composition and natural abundance of 13C and 15N in density fractions. European Journal of Forest Research, 129: 1143-1153",Forest,Cropland," 30T 384465 E 4639001 N, Castilla y Leon",DouroR,GLU074,12
"Llorente  et al., 2011",Spain,Temperate forest,100,>50 yr,clay loam,0-30 cm,72.91311755,"Llorente M, Glaser B, Turrión M. 2010. Anthropogenic disturbance of natural forest vegetation on calcareous soils alters soil organic matter composition and natural abundance of 13C and 15N in density fractions. European Journal of Forest Research, 129: 1143-1154",Forest,Cropland," 30T 384465 E 4639001 N, Castilla y Leon",DouroR,GLU074,12
