Publication,Ecosystem Name (Initial),Initial_Land_Use,Ecosystem Name (Final),Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID,Time,Max_Rate,Avg_Rate,Exp_Rate
Leisman (1957),Mine spoil,RockIceDesert,Forest,Forest,Mesabi Range,NelsonR,GLU023,1,51,,38.4,0.0384
Brejda (1997),Grazing exclusion,Pasture,Shrub live oak,Shrubland,Arizona,UsaColoRS,GLU221,1,18,,-9.44,-0.00944
Brejda (1997),Grazing exclusion,Pasture,Moutain mahogany,Forest,Arizona,UsaColoRS,GLU221,1,18,,-6.11,-0.00611
Brejda (1997),Grazing exclusion,Pasture,Shrubless openings,Shrubland,Arizona,UsaColoRS,GLU221,1,8,,12.78,0.01278
Ulery (1995),New parent material,,Chaparral - oak,Shrubland,San Dimas Experimental Forest,California,GLU217,1,41,,70.87,0.07087
Ulery (1995),New parent material,,Chaparral - pine,Shrubland,San Dimas Experimental Forest,California,GLU218,1,41,,59.93,0.05993
Ulery (1995),New parent material,,Chaparral - chamise,Shrubland,San Dimas Experimental Forest,California,GLU219,1,41,,25.43,0.02543
Ulery (1995),New parent material,,Chaparral - ceanothus,Shrubland,San Dimas Experimental Forest,California,GLU220,1,41,,22,0.022
Switzer & Shelton (1979),Old Field,Cropland,Pine to hardwood succession,Forest,Eastern Mississippi,UsaCstSE,GLU226,1,200,11.2,2.4,0.0024
Montes & Christensen (1979),Old Field,Cropland,Pine to hardwood succession,Forest,"Near Durham, NC",UsaCstSE,GLU226,1,,12.9,4.5,0.0045
Christensen & MacAller (1985),Old fields,Cropland,Pine - natural succession,Forest,North Carolina,UsaCstSE,GLU226,1,,,2.94,0.00294
Christensen & MacAller (1985),Old fields,Cropland,Pine - natural succession,Forest,North Carolina,UsaCstSE,GLU226,1,,,-4.41,-0.00441
Christensen & MacAller (1985),Old fields,Cropland,Pine - natural succession,Forest,North Carolina,UsaCstSE,GLU226,1,,,-14.12,-0.01412
Schiffman & Johnson (1989),Old fields,Cropland,Pine - natural succession,Forest,"Piedmont, VA",UsaCstSE,GLU226,1,50,,28.4,0.0284
Hosner & Graney (1970),Old fields,Cropland,Pine - natural succession,Forest,"Piedmont, VA",UsaCstE,GLU233,1,,22.6,11.81,0.01181
Billings (1938),Old fields,Cropland,Pine - natural succession,Forest,,,,,110,31.7,5.9,0.0059
Schiffman & Johnson (1989),Old Field,Cropland,Managed pine plantation,Forest,"Piedmont, VA",UsaCstSE,GLU226,1,50,,24.8,0.0248
Coile (1940),Old Field,Cropland,Managed pine plantation,Forest,Piedmont Plateau,,,,70,52.85,25.56,0.02556
